"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","433939.272","4589428.779","433847.31","4589227.777","2.207988","41.451908","METRO (L1) - SANTA COLOMA-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","433969.223","4589394.723","433877.261","4589193.721","2.20835","41.451604","METRO (L1) - SANTA COLOMA-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432079.684","4583191.921","431987.737","4582990.977","2.186428","41.39558","METRO (L1) - MARINA (Av. Meridiana)-",2,5,"Eixample","el Fort Pienc",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","434757.571","4589401.418","434665.602","4589200.416","2.217787","41.451728","METRO (L1) - FONDO-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427604.329","4580760.854","427512.423","4580559.934","2.13319","41.373293","METRO (L1) - MERCAT NOU (C. d'Antoni de Capmany)-",3,18,"Sants-Montjuïc","Sants",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","425697.26","4578331.096","425605.371","4578130.199","2.110686","41.351236","METRO (L1) - BELLVITGE-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430010.072","4587038.011","429918.146","4586837.032","2.161228","41.430042","METRO (L5) - HORTA (Pl. d'Eivissa)-",7,43,"Horta-Guinardó","Horta",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431512.153","4583708.025","431420.212","4583507.077","2.179581","41.40018","METRO (L2) - MONUMENTAL (C. de la Marina)-",2,5,"Eixample","el Fort Pienc",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429348.009","4581385.042","429256.087","4581184.116","2.153966","41.37907","METRO (L1) - ROCAFORT (C. de Rocafort)-",2,9,"Eixample","la Nova Esquerra de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430593.937","4582508.242","430502.004","4582307.305","2.168735","41.389295","METRO (L2) - PASSEIG DE GRÀCIA (Pg. de Gràcia)-",2,7,"Eixample","la Dreta de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","424842.109","4579643.626","424750.228","4579442.717","2.100302","41.362977","METRO (L1) - RAMBLA JUST OLIVERAS-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","426339.212","4579373.263","426247.317","4579172.356","2.118232","41.360681","METRO (L9 sud) - CAN TRIAS-GORNAL-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","426977.73","4578933.171","426885.829","4578732.268","2.125918","41.356775","METRO (L9 sud) - EUROPA-FIRA-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","425782.474","4576399.346","425690.584","4576198.467","2.111941","41.333845","METRO (L9 sud) - MERCABARNA-",,,,,,
